Inicio,Fin,Descripci�n
2024-05-01 09:00:00.456745,2024-05-01 17:00:00.456745,Desarrollo de proyecto
2024-05-02 08:30:00.456745,2024-05-02 16:30:00.456745,Reunión de equipo
2024-05-03 10:00:00.456745,2024-05-03 18:00:00.456745,Pruebas de software
2024-05-04 09:15:00.456745,2024-05-04 16:45:00.456745,Investigación de mercado
2024-05-05 08:45:00.456745,2024-05-05 17:15:00.456745,Desarrollo de prototipo
2024-05-06 09:30:00.456745,2024-05-06 18:30:00.456745,Reunión con clientes
2024-05-07 09:00:00.456745,2024-05-07 17:00:00.456745,Presentación de proyecto
2024-05-08 12:17:17.759229,2024-05-08 18:17:17.759229,mkmk
2024-05-08 19:42:27.178528,2024-05-08 23:42:34.510231,hjjjjh
2024-05-08 21:46:20.312112,2024-05-08 21:46:27.163085,tgvd
2024-05-08 22:16:08.193135,2024-05-08 22:16:12.936165,hjkjhj
2024-05-09 17:29:00.652650,2024-05-09 17:29:08.120766,7hkkik
